name,SMILES
Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
Rabeprazole,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1
Roflumilast,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl
7-Hydroxystaurosporine,[H][C@]12C[C@@H](NC)[C@@H](OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4[C@@H](O)NC(=O)C4=C4C5=C(C=CC=C5)N2C4=C13
Piritrexim,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1
Quercetin,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
Cediranib,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1
E-2012,[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1
Motesanib,CC1(C)CNC2=CC(NC(=O)C3=C(NCC4=CC=NC=C4)N=CC=C3)=CC=C12
IRX-5183,CC1(C)CCC(C)(C)C2=C1C=C(C(=O)NC1=CC(F)=C(C(O)=O)C(F)=C1)C(O)=C2Cl
Linifanib,CC1=CC(NC(=O)NC2=CC=C(C=C2)C2=C3C(N)=NNC3=CC=C2)=C(F)C=C1
Avanafil,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1
SGX-523,CN1C=C(C=N1)C1=NN2C(SC3=CC=C4N=CC=CC4=C3)=NN=C2C=C1
R343,CNC(=O)COC1=CC=CC(NC2=NC=C(F)C(NC3=CC=C4OC(F)(F)C(=O)NC4=C3)=N2)=C1
Cenisertib,[H][C@@]12C[C@@]([H])(C=C1)[C@@H]([C@@H]2NC1=C(F)C=NC(NC2=CC=C(N3CCN(C)CC3)C(C)=C2)=N1)C(N)=O
Elinogrel,CNC1=C(F)C=C2C(NC(=O)N(C2=O)C2=CC=C(NC(=O)NS(=O)(=O)C3=CC=C(Cl)S3)C=C2)=C1
Zibotentan,COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1
Tamatinib,COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)NC4=N3)=N2)=CC(OC)=C1OC
AMG-208,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1
Ellagic_acid,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
Crizotinib,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
Regorafenib,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Palbociclib,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
Flutemetamol_(18F),CNC1=C([18F])C=C(C=C1)C1=NC2=CC=C(O)C=C2S1
Dactolisib,CN1C(=O)N(C2=C1C=NC1=CC=C(C=C21)C1=CN=C2C=CC=CC2=C1)C1=CC=C(C=C1)C(C)(C)C#N
Ilorasertib,NC1=C2C(SC=C2C2=CC=C(NC(=O)NC3=CC(F)=CC=C3)C=C2)=C(C=N1)C1=CN(CCO)N=C1
Tezacaftor,CC(C)(CO)C1=CC2=CC(NC(=O)C3(CC3)C3=CC=C4OC(F)(F)OC4=C3)=C(F)C=C2N1C[C@@H](O)CO
Talazoparib,CN1N=CN=C1[C@@H]1[C@H](NC2=C3C1=NNC(=O)C3=CC(F)=C2)C1=CC=C(F)C=C1
BMS-903452,CS(=O)(=O)C1=CC=C(N2C=C(Cl)C(OC3CCN(CC3)C3=NC=C(Cl)C=N3)=CC2=O)C(F)=C1
Capmatinib,CNC(=O)C1=C(F)C=C(C=C1)C1=NN2C(CC3=CC4=C(C=C3)N=CC=C4)=CN=C2N=C1
Sapanisertib,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2OC(N)=NC2=C1
Lucitanib,CNC(=O)C1=C2C=CC(OC3=C4C=C(OC)C(OCC5(N)CC5)=CC4=NC=C3)=CC2=CC=C1
Apalutamide,CNC(=O)C1=CC=C(C=C1F)N1C(=S)N(C(=O)C11CCC1)C1=CC(=C(N=C1)C#N)C(F)(F)F
LY-2090314,FC1=CC2=C3N(CCN(C2)C(=O)N2CCCCC2)C=C(C3=C1)C1=C(C(=O)NC1=O)C1=CN=C2C=CC=CN12
Decoglurant,NC1=CC=C(C=N1)C#CC1=C2N=C(C=C(N2N=C1)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)F
Delafloxacin,NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F
Lemborexant,CC1=NC=C(OC[C@]2(C[C@H]2C(=O)NC2=NC=C(F)C=C2)C2=CC=CC(F)=C2)C(C)=N1
Ilaprazole,COC1=C(C)C(CS(=O)C2=NC3=C(N2)C=CC(=C3)N2C=CC=C2)=NC=C1
Sepetaprost,CC(C)OC(=O)CCC[C@H]1CC[C@H]2[C@H](C[C@@H](O)[C@@H]2\C=C\[C@@H](O)COC2=CC(F)=CC=C2F)OC1
Savolitinib,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1
Albaconazole,C[C@@H](N1C=NC2=CC(Cl)=CC=C2C1=O)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F
Taselisib,CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=CN(N=C1)C(C)(C)C(N)=O
Entospletinib,C1CN(CCO1)C1=CC=C(NC2=NC(=CN3C=CN=C23)C2=CC3=C(C=NN3)C=C2)C=C1
Erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1
Itacitinib,FC1=C(N=CC=C1C(=O)N1CCC(CC1)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1)C(F)(F)F
Sapitinib,CNC(=O)CN1CCC(CC1)OC1=C(OC)C=C2N=CN=C(NC3=CC=CC(Cl)=C3F)C2=C1
PF-06273340,CC(C)(CO)N1C=C(C(=O)C2=CC(NC(=O)CC3=CC=C(Cl)C=N3)=CN=C2)C2=CN=C(N)N=C12
Verubecestat,CN1C(N)=N[C@@](C)(CS1(=O)=O)C1=CC(NC(=O)C2=CC=C(F)C=N2)=CC=C1F
Cipargamin,C[C@H]1CC2=C(NC3=CC(Cl)=C(F)C=C23)[C@@]2(N1)C(=O)NC1=CC=C(Cl)C=C21
AZD-3839,NC1=N[C@@](C2=CC=CC(F)=C12)(C1=CC=CC(=C1)C1=CN=CN=C1)C1=CC=NC(=C1)C(F)F
CC-401,C(CN1CCCCC1)OC1=CC=CC(=C1)C1=NNC2=CC=C(C=C12)C1=NNC=N1
Copanlisib,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21
Cevipabulin,CNCCCOC1=CC(F)=C(C(F)=C1)C1=C(N[C@@H](C)C(F)(F)F)N2N=CN=C2N=C1Cl
GSK-356278,CCN1N=CC2=C(NC3CCOCC3)C(=CN=C12)C1=NN=C(CC2=C(C)N=C(C)S2)O1
Nelotanserin,COC1=CC=C(NC(=O)NC2=CC=C(F)C=C2F)C=C1C1=C(Br)C=NN1C
AZD-1480,C[C@H](NC1=NC=C(Cl)C(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1
PF-477736,CN1C=C(C=N1)C1=C2C=NNC(=O)C3=C2C(N1)=CC(NC(=O)[C@H](N)C1CCCCC1)=C3
AZD-2066,C[C@@H](OC1=NN=C(N1C)C1=CC=NC=C1)C1=NOC(=C1)C1=CC=CC(Cl)=C1
LY-2584702,CN1C=C(N=C1C1CCN(CC1)C1=C2C=NNC2=NC=N1)C1=CC=C(F)C(=C1)C(F)(F)F
Omipalisib,COC1=C(NS(=O)(=O)C2=C(F)C=C(F)C=C2)C=C(C=N1)C1=CC2=C(C=CN=C2C=C1)C1=CN=NC=C1
Seletalisib,[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F
AKN-028,NC1=C(NC2=CC=C3NC=CC3=C2)N=C(C=N1)C1=CC=NC=C1
GW-493838,CC(C)(C)C1=NN=C(O1)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(NC3=CC=C(Cl)C=C3F)N=CN=C12
Ilginatinib,C[C@H](NC1=CC(=CC(NC2=CN=CC=N2)=N1)C1=CN(C)N=C1)C1=CC=C(F)C=C1
UK-500001,CC1=CC(C(=O)N[C@H]2CC[C@H](CC2)NC(=O)C2=C(OC3=CC(F)=C(F)C=C3)N=CC(F)=C2)=C(O)C=C1
PF-04217903,OCCN1C=C(C=N1)C1=CN=C2N=NN(CC3=CC4=CC=CN=C4C=C3)C2=N1
NVP-LEQ-506,C[C@@H]1CN(CCN1C1=CN=C(C=N1)C(C)(C)O)C1=NN=C(CC2=CC=CC=C2)C(C)=C1C
Quercetin-3'-O-phosphate,OC1=CC(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC(OP(O)(O)=O)=C(O)C=C1
Pexidartinib,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1
MK-6186,ClC1=CC(OC2=C3C=NN(CC4=NNC5=NC=CC=C45)C3=CC=C2Cl)=CC(=C1)C#N
Henatinib,CC1=C(NC2=C1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2)\C=C1/C(=O)NC2=CC=C(F)C=C12
LY-2874455,C[C@@H](OC1=CC=C2NN=C(\C=C\C3=CN(CCO)N=C3)C2=C1)C1=C(Cl)C=NC=C1Cl
AG-24322,CCNCC1=CN=CC(=C1C)C1=CC=C2NN=C(C3=NC4=C(F)C=C(F)C=C4N3)C2=C1
Gandotinib,CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1
PF-03814735,CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1C1=C2C=CC(NC2=NC=C(C(NC3CCC3)=N2)C(F)(F)F)=C1
MLN8054,OC(=O)C1=CC=C(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2F)C=C1
Pyritinol,CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1
X-396,C[C@@H](OC1=CC(=NN=C1N)C(=O)NC1=CC=C(C=C1)C(=O)N1CCN(C)CC1)C1=C(Cl)C=CC(F)=C1Cl
JNJ-38877605,CN1C=C(C=N1)C1=NN2C(C=C1)=NN=C2C(F)(F)C1=CC=C2N=CC=CC2=C1
GSK-364735,CN1C(=O)C(C(=O)NCCO)=C(O)C2=NC=C(CC3=CC=C(F)C=C3)C=C12
Enasidenib,CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=NC(=CC=C1)C(F)(F)F
Pamiparib,C[C@]12CCCN1CC1=NNC(=O)C3=C4C(NC2=C14)=CC(F)=C3
Lanraplenib,NC1=CN=CC(=N1)C1=CN2C=CN=C2C(NC2=CC=C(C=C2)N2CCN(CC2)C2COC2)=N1
Lifirafenib,FC(F)(F)C1=CC2=C(C=C1)N=C(N2)[C@@H]1[C@H]2OC3=C(C=C(OC4=C5CCC(=O)NC5=NC=C4)C=C3)[C@@H]12
AZD-3759,COC1=C(OC(=O)N2CCN(C)C[C@H]2C)C=C2C(NC3=C(F)C(Cl)=CC=C3)=NC=NC2=C1
AZD-1656,COC[C@H](C)OC1=CC(=CC(OC2=NC=C(N=C2)C(=O)N2CCC2)=C1)C(=O)NC1=NC=C(C)N=C1
Lanabecestat,CO[C@H]1CC[C@@]2(CC3=CC=C(C=C3[C@@]22N=C(C)C(N)=N2)C2=CC(=CN=C2)C#CC)CC1
PF-05089771,NC1=C(C=NN1)C1=CC(Cl)=CC=C1OC1=CC(F)=C(C=C1Cl)S(=O)(=O)NC1=CSC=N1
TAS-116,CCC1=CC(=CC=C1N1N=C(C(C)C)C2=C1N=CC=C2N1C=NC(=C1)C1=CN(C)N=C1)C(N)=O
PF-05180999,CN1N=CC(C2=C3N(N=CN=C3N3CCC3)C(C)=N2)=C1C1=NC=C(C=C1)C(F)(F)F
Derazantinib,COCCNCCC1=CC(NC2=NC=C3C[C@@H](C4=CC=CC=C4F)C4=CC=CC=C4C3=N2)=CC=C1
Selonsertib,CC(C)N1C=NN=C1C1=CC=CC(NC(=O)C2=CC(N3C=NC(=C3)C3CC3)=C(C)C=C2F)=N1
Relacorilant,CN1C=C(C=N1)S(=O)(=O)N1CCC2=CC3=C(C[C@@]2(C1)C(=O)C1=CC(=CC=N1)C(F)(F)F)C=NN3C1=CC=C(F)C=C1
AZD-8186,C[C@@H](NC1=CC(F)=CC(F)=C1)C1=CC(=CC2=C1OC(=CC2=O)N1CCOCC1)C(=O)N(C)C
BMS-919373,NS(=O)(=O)C1=CN=CC(=C1)C1=NC(NCC2=NC=CC=C2)=C2C(C=CC=C2C2=CC=CC=C2)=N1
Flutemetamol,CNC1=C(F)C=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2
Pemigatinib,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F
Tepotinib,CN1CCC(COC2=CN=C(N=C2)C2=CC(CN3N=C(C=CC3=O)C3=CC(=CC=C3)C#N)=CC=C2)CC1
MAX-40279,COC1=CC(F)=CC=C1C1=C(C)SC2=CN=C(NC3=CN(N=C3)C3CCNCC3)N=C12
Avapritinib,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1
Olinciguat,NC(=O)[C@](O)(CNC1=C(F)C=NC(=N1)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)C(F)(F)F
Olorofim,CN1C(C)=CC(=C1C(=O)C(=O)NC1=CC=C(C=C1)N1CCN(CC1)C1=NC=C(F)C=N1)C1=CC=CC=C1
Vorolanib,CN(C)C(=O)N1CC[C@@H](C1)NC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
Avutometinib,CNS(=O)(=O)NC1=C(F)C(CC2=C(C)C3=C(OC2=O)C=C(OC2=NC=CC=N2)C=C3)=CC=N1
Reldesemtiv,NC(=O)C1=CN(C=C1)C1=CN=C(NC[C@@]2(C[C@H](F)C2)C2=NC=CC=C2F)N=C1
Tovorafenib,C[C@@H](NC(=O)C1=C(Cl)C(N)=NC=N1)C1=NC=C(S1)C(=O)NC1=NC=C(Cl)C(=C1)C(F)(F)F
Vactosertib,CC1=NC(=CC=C1)C1=C(N=C(CNC2=C(F)C=CC=C2)N1)C1=CN2N=CN=C2C=C1
Abivertinib,CN1CCN(CC1)C1=C(F)C=C(NC2=NC(OC3=CC=CC(NC(=O)C=C)=C3)=C3C=CNC3=N2)C=C1
JNJ-54175446,C[C@H]1N(CCC2=C1N=NN2C1=NC=C(F)C=N1)C(=O)C1=C(Cl)C(=CC=C1)C(F)(F)F
SAR-125844,FC1=CC=C(C=C1)C1=NN2C(SC3=CC=C4N=C(NC(=O)NCCN5CCOCC5)SC4=C3)=NN=C2C=C1
Telatinib,CNC(=O)C1=CC(COC2=C3OC=CC3=C(NC3=CC=C(Cl)C=C3)N=N2)=CC=N1
BMS-754807,C[C@]1(CCCN1C1=NN2C=CC=C2C(NC2=NNC(=C2)C2CC2)=N1)C(=O)NC1=CN=C(F)C=C1
Trilaciclib,CN1CCN(CC1)C1=CN=C(NC2=NC3=C(C=C4N3C3(CCCCC3)CNC4=O)C=N2)C=C1
Glumetinib,CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1
Fluzoparib,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN2N=C(N=C2C1)C(F)(F)F
AMG-337,COCCOC1=CC2=C(C=CN([C@H](C)C3=NN=C4N3C=C(C=C4F)C3=CN(C)N=C3)C2=O)N=C1
Dihydromyricetin,O[C@@H]1[C@H](OC2=C(C(O)=CC(O)=C2)C1=O)C1=CC(O)=C(O)C(O)=C1
Rilematovir,CS(=O)(=O)CCCN1C(CN2C(=O)N(CC(F)(F)F)C3=C2C=NC=C3)=CC2=C1C=CC(Cl)=C2
PLX8394,F[C@@H]1CCN(C1)S(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CN=C(N=C2)C2CC2)=C1F
Chiauranib,COC1=CC=C2C(OC3=CC4=CC=CC(C(=O)NC5=CC=CC=C5N)=C4C=C3)=CC=NC2=C1
Dezapelisib,C[C@H](NC1=C2N=CNC2=NC=N1)C1=C(C(=O)N2C(C)=CSC2=N1)C1=CC=CC(F)=C1
Eltanexor,NC(=O)C(=C\N1C=NC(=N1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)\C1=CN=CN=C1
Imaradenant,CC1=NC(Cl)=CC(=C1)C1=NN=C(N)N=C1C1=CC=C(F)C=C1
Lerociclib,CC(C)N1CCN(CC1)C1=CC=C(NC2=NC=C3C=C4N(C3=N2)C2(CCCCC2)CNC4=O)N=C1
Nedisertib,COC1=NN=C(C=C1)[C@@H](O)C1=C(Cl)C=C(F)C(=C1)C1=NC=NC2=C1C=CC(=C2)N1CCOCC1
Nemiralisib,CC(C)N1CCN(CC2=CN=C(O2)C2=CC(=CC3=C2C=NN3)C2=CC=CC3=C2C=CN3)CC1
Paltusotine,NC1CCN(CC1)C1=C(C=NC2=CC=C(C=C12)C1=C(O)C(=CC=C1)C#N)C1=CC(F)=CC(F)=C1
Florzolotau_F-18,CNC1=CC=C(\C=C\C=C\C2=NC3=C(S2)C=C(OCC(O)C[18F])C=C3)C=N1
Praliciguat,OC(CNC1=NC(=NC=C1F)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)(C(F)(F)F)C(F)(F)F
SAR443122,CN1C2=NC=CC=C2OC[C@H](NC(=O)C2=NN=C(CC3=CC=CC=C3)N2)C1=O
Belumosudil,CC(C)NC(=O)COC1=CC=CC(=C1)C1=NC2=C(C=CC=C2)C(NC2=CC=C3NN=CC3=C2)=N1
S-49076,O=C1CSC(=O)N1CC1=CC2=C(NC(=O)\C2=C/C2=CC(CN3CCOCC3)=CN2)C=C1
Vebreltinib,CN1C=C2C=C(C(F)=CC2=N1)C(F)(F)C1=NN=C2C=CC(=NN12)C1=CN(N=C1)C1CC1
Mivavotinib,CN1C=C(C=N1)C1=C2C(=O)NCC2=C(F)C(N[C@@H]2CCCC[C@@H]2N)=N1
Remibrutinib,CN(CCOC1=C(N)N=CN=C1C1=C(C)C(NC(=O)C2=C(F)C=C(C=C2)C2CC2)=CC(F)=C1)C(=O)C=C
Hematoxylin,[H][C@]12C3=CC(O)=C(O)C=C3C[C@@]1(O)COC1=C2C=CC(O)=C1O
AMG-319,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=C(C=C(F)C=C2)N=C1C1=NC=CC=C1
JNJ-38877618,FC(F)(C1=NN=C2C=CC(=NN12)C1=CC=NC=C1)C1=CC2=C(C=C1)N=CC=C2
STX-107,CC1=NC(=CS1)C#CC1=CC=C(N=C1)C1=CC(=CC(F)=C1)C#N
AZD2066,C[C@@H](OC1=NN=C(N1C)C1=CC=NC=C1)C1=NOC(=C1)C1=CC(Cl)=CC=C1
APTO-253,CC1=C(C2=NC3=C(N2)C2=CC=CN=C2C2=C3C=CC=N2)C2=C(N1)C=CC(F)=C2
Cirtuvivint,CN1C=C(C=N1)C1=CC2=C(C=C1)C=NC(NC(=O)C1=CC=NC(=C1)N1CCN(C)CC1)=C2
Enitociclib,COC1=C(C=CC(F)=C1)C1=CC(NC2=NC=CC(C[S@@](C)(=N)=O)=C2)=NC=C1F
GB1211,OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1
Vimseltinib,CC(C)NC1=NC=C(C(=O)N1C)C1=CC=C(OC2=CC=NC(=C2)C2=CN(C)N=C2)C(C)=N1
Zanzalintinib,CNC(=O)C1=CC2=C(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)C=CN=C2C=C1OC
Belvarafenib,CC1=C(NC(=O)C2=CSC3=C(N)N=CN=C23)C2=CC=NC(NC3=CC=CC(Cl)=C3F)=C2C=C1
MRTX-1719,CN1N=CC(=C1C1=C(F)C(Cl)=CC(OC2CC2)=C1C#N)C1=CC=C2C(=O)NN=C(CN)C2=C1
"3-(4-(1,5-Naphthyridine)imidazole(1,2-a)_pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)))",CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=CC=CN=C12
"3-(4-(8-Fluoroquinoline)_imidazole(1,2-a)pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)",CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=C(F)C=CC=C12
LDN-193189,C1CN(CCN1)C1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=CC=NC2=CC=CC=C12
Pociredir,CC1=NC=CC=C1C1=CC2=C(NCC3=C4[C@@H](COC4=CC=C3F)CO2)N2C=NN=C12
Unesbulin,CC1=NC2=CC=C(F)C=C2N1C1=NC(N)=C(F)C(NC2=CC=C(C=C2)C(F)(F)F)=N1
Crozbaciclib,CN1CCC(CC1)C1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)C33CCCC3)C(F)=C2)N=C1
INS018_055,CC(C)N1C=NC(=C1C1=NC=C(N1)C(=O)NC1=CC=C(C=C1)N1CCN(C)CC1)C1=CC=C(F)C=C1
IDRX-42,CN1C=C(C=N1)C1=CC=C(CNC2=CC(=NC=N2)C2=CN=C3C=C(OCCCN4CCCC4)C=CN23)C=C1
Edralbrutinib,CC#CC(=O)N1CC[C@H](C1)N1C=C(C2=C1C(=O)NN=C2N)C1=CC=C(OC2=C(F)C=CC=C2F)C=C1
Izaflortaucipir,FC1=CC(=CC=N1)C1=NC2=C(C=C1)C1=C(N2)C=CN=C1
"N-(4-(1-cyclopropyl-4-fluoro-2-methyl-1H-benzo(d)imidazol-6-yl)-5-fluoropyrimidin-2-yl)-6-(2-(dimethylamino)ethyl)-5,6,7,8-tetrahydro-l,6-naphthyridin-2-amine",CN(C)CCN1CCC2=C(C1)C=CC(NC1=NC=C(F)C(=N1)C1=CC(F)=C3N=C(C)N(C4CC4)C3=C1)=N2
Sebetralstat,COCC1=NN(CC2=CC=C(CN3C=CC=CC3=O)C=C2)C=C1C(=O)NCC1=NC=CC(OC)=C1F
VLX-1005,COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O
Ropsacitinib,CN1C=C(C=N1)C1=CN2N=CC=C2C(=N1)C1=CN(N=C1)[C@@]1(CC#N)C[C@@H](C1)C#N
Trelanserin,NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=C3C=CSC3=CC=N2)C2=CC=C(F)C=C12
SLC-391,NC1=NC=C(C=C1C1=NN=C(CC2CC2)O1)C1=CN(N=C1)C1CCNCC1
Povorcitinib,C[C@H](NC(=O)C1=CC(F)=C(C=C1F)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C(C)NN=C1C)C(F)(F)F
Rezatapopt,CNC(=O)C1=CC=C(NCC#CC2=CC3=C(N[C@@H]4CCN(C)C[C@@H]4F)C=CC=C3N2CC(F)(F)F)C(OC)=C1
Sevasemten,FC1=CN=CC(CN2N=C(C=CC2=O)C2=CN=C(OCC(F)(F)F)N=C2)=C1
Lartesertib,COC1=CC2=C(C=C1C1=CN(C)N=C1C)C1=C(C=N2)N(C)C(=O)N1C1=C(F)C=NC=C1OC
JNJ-55308942,C[C@H]1CC2=C(CN1C(=O)C1=CC=NC(=C1F)C(F)(F)F)N=NN2C1=NC=C(F)C=N1
KER-047,COC1=CC2=C(C=CN=C2C=C1F)C1=C2N=CC(=CN2N=C1)N1CCC(CC1)N1CCN(C)CC1
MK-8189,CC1=NN=C(CNC2=CC(OC[C@H]3C[C@@H]3C3=CC=C(C)C=N3)=NC(C)=N2)S1
MAK-683,CC1=NC=CC=C1C1=CN=C(NCC2=C3CCOC3=CC=C2F)N2C=NN=C12
Florquinitau_(18F),NC1=C([18F])C=CC2=CN=C(C=C12)N1C=CC2=CC=NC=C12
